TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
1354.108511,0.000293637,91190,1452.145508,5.646042347,790.8884277,2.116070271,1601.767212,7.367824554,0,NA,NA,NA,NA,779.8592287,0.002548108,1764.829998,0.002264305,0.002144458,-0.059453145
1354.109899,0.000293626,91191,1451.845581,5.641100883,791.9761353,2.111804724,1607.378784,7.361376762,0,NA,NA,NA,NA,779.8509162,0.002553416,1764.832243,0.002266607,-0.01160228,-0.050669033
1354.111288,0.000293615,91192,1439.99939,5.631654263,792.1314087,2.114590168,1597.963867,7.349049091,0,NA,NA,NA,NA,779.8423443,0.002575959,1764.835583,0.002281137,-0.025088547,-0.041527599
1354.112677,0.000293604,91193,1411.203491,5.615832806,799.0762329,2.120109081,NA,NA,128,NA,NA,NA,NA,779.8150209,0.002631943,1764.829553,0.002324067,-0.07716278,-0.032678004
1354.114066,0.000293593,91194,1442.047974,5.640741348,793.6983643,2.115927458,1603.043579,7.360907078,0,NA,NA,NA,NA,779.8550454,0.002567623,1764.841519,0.002294492,-0.008256798,-0.030986376
1354.115455,0.000293582,91195,1450.756958,5.645715237,796.3414307,2.117077827,1611.134399,7.367398262,0,NA,NA,NA,NA,779.8314968,0.002563694,1764.826192,0.002269848,-0.040303305,-0.058847569
1354.116844,0.000293571,91196,1439.637085,5.633052826,792.5968628,2.112428427,1598.111328,7.350873947,0,NA,NA,NA,NA,779.8379784,0.002579323,1764.834159,0.002278432,-0.035638716,-0.046817675
1354.118233,0.00029356,91197,1444.400513,5.634684086,793.1741943,2.112053633,1603.739746,7.353003025,0,NA,NA,NA,NA,779.8439285,0.002567949,1764.831507,0.002272284,-0.033421967,-0.045729619
1354.119622,0.000293549,91198,1458.42395,5.648079872,792.2785645,2.112524033,1622.412964,7.370483875,0,NA,NA,NA,NA,779.8429938,0.002545355,1764.836175,0.002259156,-0.026856776,-0.038839206
1354.121011,0.000293538,91199,1449.357178,5.647003174,793.9763184,2.11471343,1611.165161,7.369078159,0,NA,NA,NA,NA,779.8368298,0.002561376,1764.836624,0.00227197,-0.030756949,-0.04213744
1354.122399,0.000293527,91200,1448.12854,5.641131401,791.5904541,2.116546631,1609.159912,7.361415863,0,NA,NA,NA,NA,779.8397103,0.002558107,1764.837913,0.002276005,-0.028914023,-0.038210053
1354.123788,0.000293516,91201,1446.264771,5.644142628,796.9289551,2.115633249,1606.653931,7.365345478,0,NA,NA,NA,NA,779.8404624,0.002566808,1764.833262,0.002279931,-0.032612644,-0.040236454
1354.125177,0.000293505,91202,1446.055176,5.64206934,790.6039429,2.113768578,1607.743774,7.362640381,0,NA,NA,NA,NA,779.8403747,0.00257218,1764.840892,0.002274296,-0.032058757,-0.036661528
1354.126566,0.000293494,91203,1444.427856,5.642982006,798.1687012,2.118574619,1603.738281,7.363831043,0,NA,NA,NA,NA,779.8445719,0.002563922,1764.842734,0.002278357,-0.021692127,-0.031994522
1354.127955,0.000293483,91204,1457.270752,5.646970272,790.9480591,2.116278172,1620.884521,7.369035721,0,NA,NA,NA,NA,779.8339847,0.002551041,1764.836132,0.002259156,-0.032174289,-0.039442029
1354.129344,0.000293472,91205,1449.016357,5.640668392,793.8753052,2.113837004,1610.290771,7.36081171,0,NA,NA,NA,NA,779.8425057,0.00256072,1764.836572,0.002271656,-0.029948473,-0.03769188
1354.130733,0.000293461,91206,1445.700684,5.635154724,791.1835938,2.11220789,1605.004028,7.353617191,0,NA,NA,NA,NA,779.8391703,0.002563947,1764.831993,0.002269995,-0.031972054,-0.040286686
1354.132122,0.00029345,91207,1450.308472,5.64413166,793.5063477,2.11361742,1610.525879,7.36533165,0,NA,NA,NA,NA,779.8407368,0.002558925,1764.837795,0.002266944,-0.028446957,-0.038737919
1354.13351,0.000293439,91208,1446.091064,5.640427589,791.9557495,2.114701748,1606.29187,7.360497475,0,NA,NA,NA,NA,779.8402525,0.002566102,1764.836645,0.002275254,-0.031795684,-0.038890067
1354.134899,0.000293428,91209,1443.438477,5.638827801,796.994751,2.117211819,1602.848755,7.358409882,0,NA,NA,NA,NA,779.8396676,0.002567954,1764.838409,0.002278523,-0.030060584,-0.034975335
1354.136288,0.000293417,91210,1444.858887,5.636832237,792.6644897,2.113907814,1604.683594,7.355806351,0,NA,NA,NA,NA,779.8436413,0.002567981,1764.837086,0.002277009,-0.031161718,-0.034517575
1354.137677,0.000293406,91211,1460.960205,5.647237778,788.5222778,2.112122536,1624.870239,7.369385242,0,NA,NA,NA,NA,779.8416146,0.002543659,1764.834,0.002252746,-0.027805684,-0.0417457
1354.139066,0.000293395,91212,1446.377686,5.641093254,796.5032959,2.115799904,1608.36438,7.361366272,0,NA,NA,NA,NA,779.8499921,0.002561007,1764.843139,0.002281065,-0.021415114,-0.02548904
1354.140455,0.000293384,91213,1445.108643,5.641614437,792.8544312,2.114459038,1604.639038,7.362045765,0,NA,NA,NA,NA,779.8295732,0.002574949,1764.833844,0.002274352,-0.040839329,-0.048325043
1354.141844,0.000293373,91214,1460.497192,5.644231796,788.3165894,2.110955954,1625.583252,7.365461826,0,NA,NA,NA,NA,779.8386826,0.002538056,1764.837886,0.002253542,-0.029732725,-0.035079744
1354.143233,0.000293362,91215,1453.415527,5.64735508,794.3553467,2.117398262,1614.980225,7.369537354,0,NA,NA,NA,NA,779.8432903,0.002556451,1764.83676,0.002266806,-0.029308796,-0.036411759
